basedir,bdf,video,duration
Sessions/3884,Part_30_Trial13_taggingVideos,P30-Rec4-2009.09.03.15.25.03_C1 trigger _C_Section_14,11
Sessions/600,Part_5_Trial9_taggingImages2,P5-Rec3-2009.07.22.13.11.59_C1 trigger _C_Section_10,11
Sessions/3878,Part_30_Trial7_taggingVideos,P30-Rec4-2009.09.03.15.25.03_C1 trigger _C_Section_8,10
Sessions/2922,Part_23_Trial21_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_22,11
Sessions/1224,Part_10_Trial13_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_14,10
Sessions/526,Part_5_S_Trial3_emotion,P5-Rec1-2009.07.22.12.05.44_C1 trigger _C_Section_6,174
Sessions/255,Part_2_Trial24_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_25,15
Sessions/1606,Part_13_Trial5_taggingImages1,P13-Rec2-2009.08.26.15.20.24_C1 trigger _C_Section_6,12
Sessions/2813,Part_22_Trial12_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_13,11
Sessions/272,Part_3_S_Trial6_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_12,127
Sessions/183,Part_2_Trial12_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_13,11
Sessions/564,Part_5_Trial3_taggingImages1,P5-Rec2-2009.07.22.13.04.36_C1 trigger _C_Section_4,11
Sessions/3241,Part_25_Trial20_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_21,13
Sessions/3456,Part_27_Trial5_taggingImages2,P27-Rec3-2009.09.02.17.32.21_C1 trigger _C_Section_6,11
Sessions/2192,Part_17_Trial11_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_12,13
Sessions/934,Part_8_S_Trial12_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_24,116
Sessions/548,Part_5_S_Trial14_emotion,P5-Rec1-2009.07.22.12.05.44_C1 trigger _C_Section_28,115
Sessions/1015,Part_8_Trial4_taggingVideos,P8-Rec4-2009.07.23.14.06.32_C1 trigger _C_Section_5,15
Sessions/914,Part_8_S_Trial2_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_4,109
Sessions/462,Part_4_Trial1_taggingImages2,P4-Rec3-2009.07.21.18.50.11_C1 trigger _C_Section_2,13
Sessions/788,Part_7_S_Trial4_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_8,123
Sessions/3875,Part_30_Trial4_taggingVideos,P30-Rec4-2009.09.03.15.25.03_C1 trigger _C_Section_5,13
Sessions/840,Part_7_Trial19_taggingImages1,P7-Rec2-2009.07.22.17.36.56_C1 trigger _C_Section_20,12
Sessions/3169,Part_25_Trial8_taggingImages1,P25-Rec2-2009.09.01.15.38.25_C1 trigger _C_Section_9,11
Sessions/1663,Part_13_Trial2_taggingVideos,P13-Rec4-2009.08.26.15.33.28_C1 trigger _C_Section_3,15
Sessions/3570,Part_28_Trial19_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_20,11
Sessions/920,Part_8_S_Trial5_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_10,85
Sessions/2339,Part_18_Trial28_taggingVideos,P18-Rec4-2009.08.28.12.26.58_C1 trigger _C_Section_29,11
Sessions/256,Part_2_Trial25_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_26,15
Sessions/656,Part_6_S_Trial3_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_6,204
Sessions/3533,Part_28_N_Trial12_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_23,22
Sessions/1666,Part_13_Trial5_taggingVideos,P13-Rec4-2009.08.26.15.33.28_C1 trigger _C_Section_6,12
Sessions/2689,Part_21_Trial18_taggingImages2,P21-Rec3-2009.08.31.15.19.32_C1 trigger _C_Section_19,11
Sessions/2290,Part_18_Trial9_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_10,11
Sessions/1515,Part_12_Trial14_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_15,11
Sessions/2865,Part_23_N_Trial3_emotion,P23-Rec1-2009.09.01.10.02.05_C1 trigger _C_Section_5,20
Sessions/3634,Part_28_Trial23_taggingVideos,P28-Rec4-2009.09.02.19.34.25_C1 trigger _C_Section_24,12
Sessions/1624,Part_13_Trial23_taggingImages1,P13-Rec2-2009.08.26.15.20.24_C1 trigger _C_Section_24,13
Sessions/701,Part_6_Trial10_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_11,11
